Base Cake,Truffle Type,Primary Flavor,Secondary Flavor,Color Group,Customer,Date,KG,EBITDA/KG
Chiffon,Chocolate Outer,Grand Mariner,Rock and Rye,White,Dandy's Candies,1/2020,736.1797752808989,0.1658886356546687
Chiffon,Chocolate Outer,Orange Brandy,Egg Nog,Teal,Dandy's Candies,1/2020,2543.106741573034,0.1460400467857093
Chiffon,Chocolate Outer,Pecan,Egg Nog,White,Perk-a-Cola,1/2020,8808.576923076922,-0.11410752824783756
Chiffon,Chocolate Outer,Plum,Egg Nog,Black,Fickelgruber,1/2020,3197.436893203884,0.2147823077667775
Chiffon,Chocolate Outer,Plum,Egg Nog,Opal,Perk-a-Cola,1/2020,1558.3101265822784,0.026715408639464013
Chiffon,Chocolate Outer,Toasted Coconut,Egg Nog,Black,Perk-a-Cola,1/2020,176.36477987421384,-0.23418444633975766
Chiffon,Chocolate Outer,Toasted Coconut,Egg Nog,White,Fickelgruber,1/2020,61397.714285714275,0.04155178803890837
Chiffon,Chocolate Outer,Watermelon,Egg Nog,Opal,Perk-a-Cola,1/2020,2637.8993710691825,0.09740319384648513
Chiffon,Chocolate Outer,Watermelon,Egg Nog,White,Slugworth,1/2020,215854.732946299,0.16062583206326406
Chiffon,Chocolate Outer,Wintergreen,Egg Nog,White,Zebrabar,1/2020,18557.572327044025,0.32872986918049796
Pound,Candy Outer,Vanilla,Tangerine,Black,Zebrabar,1/2020,854.952380952381,0.32321606636736516
Pound,Candy Outer,Vanilla,Tangerine,Opal,Fickelgruber,1/2020,4723.4912917271395,0.385088776008774
Pound,Candy Outer,Vanilla,Tangerine,White,Fickelgruber,1/2020,10796.31640058055,0.42297863101731603
Pound,Chocolate Outer,Bavarian Cream,Apple,Tiffany,Dandy's Candies,1/2020,5892.189759036144,0.34451719384590995
Pound,Chocolate Outer,Bavarian Cream,Black Currant,Tiffany,Dandy's Candies,1/2020,16.423076923076927,0.27738627196251053
Pound,Chocolate Outer,Bavarian Cream,Kiwi,Tiffany,Perk-a-Cola,1/2020,3048.0,0.24482152814768482
Pound,Chocolate Outer,Bavarian Cream,Lemon,Tiffany,Zebrabar,1/2020,5071.7861635220115,0.1417256433116116
Pound,Chocolate Outer,Bavarian Cream,Tangerine,Tiffany,Fickelgruber,1/2020,247.01618122977348,-0.017359503938936288
Pound,Chocolate Outer,Black Licorice,Egg Nog,Opal,Perk-a-Cola,1/2020,5907.667682926829,-0.01870757125134606
Pound,Chocolate Outer,Black Licorice,Egg Nog,White,Slugworth,1/2020,2386.449438202247,0.32355306828380914
Pound,Chocolate Outer,Caramel Cream,Apple,Opal,Fickelgruber,1/2020,1462.075471698113,0.28607932587863416
Pound,Chocolate Outer,Caramel Cream,Apple,White,Slugworth,1/2020,579.7777777777778,0.2757046243489161
Pound,Chocolate Outer,Caramel Cream,Black Currant,Opal,Perk-a-Cola,1/2020,13121.345911949686,0.2900243893334746
Pound,Chocolate Outer,Caramel Cream,Black Currant,White,Dandy's Candies,1/2020,283.1538461538462,0.3326545373083623
Pound,Chocolate Outer,Caramel Cream,Kiwi,Black,Zebrabar,1/2020,205.28571428571428,0.2019827505393948
Pound,Chocolate Outer,Caramel Cream,Kiwi,Opal,Perk-a-Cola,1/2020,1254.4444444444443,0.365647456663172
Pound,Chocolate Outer,Caramel Cream,Kiwi,White,Fickelgruber,1/2020,3177.0,0.4776842886631273
Pound,Chocolate Outer,Caramel Cream,Lemon,Black,Dandy's Candies,1/2020,529.03125,0.04244718495175076
Pound,Chocolate Outer,Caramel Cream,Lemon,Opal,Dandy's Candies,1/2020,2242.446601941748,0.2602880306216454
Pound,Chocolate Outer,Caramel Cream,Lemon,White,Dandy's Candies,1/2020,15229.451612903225,0.21499723130426196
Pound,Chocolate Outer,Cheesecake,Egg Nog,Black,Fickelgruber,1/2020,3080.032258064516,0.4140112189647097
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,Fickelgruber,1/2020,253848.9090909091,0.49965753891018927
Pound,Chocolate Outer,Cheesecake,Egg Nog,Tiffany,Zebrabar,1/2020,21601.383647798746,0.3083381001465617
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,Zebrabar,1/2020,193984.2734375,0.3129197872179066
Pound,Chocolate Outer,Cheesecake,Hazelnut,Tiffany,Perk-a-Cola,1/2020,1483.5,0.10171442126049936
Pound,Chocolate Outer,Cherry Cola,Egg Nog,Opal,Zebrabar,1/2020,1677.5078125000002,0.31546808728277653
Pound,Chocolate Outer,Cherry Cola,Egg Nog,White,Dandy's Candies,1/2020,9060.337370242214,0.20888823999701833
Pound,Chocolate Outer,Coffee,Egg Nog,Opal,Zebrabar,1/2020,6432.321799307958,0.09289850460103821
Pound,Chocolate Outer,Coffee,Egg Nog,White,Dandy's Candies,1/2020,101149.25,0.15241701933105478
Pound,Chocolate Outer,Irish Cream,Egg Nog,Opal,Fickelgruber,1/2020,6984.389273356402,0.1507805635416726
Pound,Chocolate Outer,Irish Cream,Egg Nog,White,Fickelgruber,1/2020,9194.277108433736,0.5382252856521094
Pound,Chocolate Outer,Lemon Custard,Egg Nog,Opal,Zebrabar,1/2020,5222.5,0.14165599725471953
Pound,Chocolate Outer,Lemon Custard,Egg Nog,White,Dandy's Candies,1/2020,2231.547169811321,0.19875800885145803
Pound,Chocolate Outer,Mango,Butter Rum,Tiffany,Slugworth,1/2020,12282.16265060241,0.3109595889365542
Pound,Chocolate Outer,Mango,Egg Nog,Black,Slugworth,1/2020,352.03883495145635,0.26115003770865025
Pound,Chocolate Outer,Mango,Egg Nog,Opal,Dandy's Candies,1/2020,3882.6809815950924,0.5223876280739757
Pound,Chocolate Outer,Mango,Egg Nog,White,Zebrabar,1/2020,18613.222222222223,0.1748119394807126
Pound,Chocolate Outer,Mango,Fuzzy Navel,Black,Slugworth,1/2020,248.6394601542416,0.37581022924400187
Pound,Chocolate Outer,Mango,Fuzzy Navel,Opal,Dandy's Candies,1/2020,1005.4545454545455,0.405597319510021
Pound,Chocolate Outer,Mango,Fuzzy Navel,White,Dandy's Candies,1/2020,803.1896551724138,0.17993330129154136
Pound,Chocolate Outer,Mango,Mojito,Black,Zebrabar,1/2020,43.645161290322584,0.24178221783571624
Pound,Chocolate Outer,Mango,Mojito,Olive,Dandy's Candies,1/2020,115.76923076923076,0.26948022950486267
Pound,Chocolate Outer,Mango,Mojito,Opal,Zebrabar,1/2020,518.4642857142858,0.24040904505419586
Pound,Chocolate Outer,Mango,Mojito,White,Perk-a-Cola,1/2020,286.6666666666667,0.1576510343152115
Pound,Chocolate Outer,Sour,Butter Rum,Tiffany,Zebrabar,1/2020,117.49826989619378,0.19455205415198928
Pound,Chocolate Outer,Sour,Egg Nog,Black,Slugworth,1/2020,777.0363321799307,0.14593390102890852
Pound,Chocolate Outer,Sour,Egg Nog,Opal,Slugworth,1/2020,6046.06451612903,0.45075493615798073
Pound,Chocolate Outer,Sour,Egg Nog,White,Zebrabar,1/2020,16749.131578947367,0.35282800662071795
Sponge,Chocolate Outer,Amaretto,Egg Nog,Olive,Perk-a-Cola,1/2020,28694.0,0.7358025668374135
Sponge,Chocolate Outer,Blueberry,Egg Nog,Olive,Perk-a-Cola,1/2020,29354.53846153846,0.7318318746520575
Sponge,Chocolate Outer,Blueberry,Egg Nog,Opal,Slugworth,1/2020,21.121915820029027,0.6800442419069335
Sponge,Chocolate Outer,Butter Milk,Egg Nog,Opal,Perk-a-Cola,1/2020,62807.53846153845,0.7287092278028149
Sponge,Chocolate Outer,Chocolate Mint,Egg Nog,Opal,Dandy's Candies,1/2020,2281.354838709677,0.7604147823451589
Sponge,Chocolate Outer,Coconut,Egg Nog,Opal,Fickelgruber,1/2020,12870.766853932582,0.7152237872691422
Sponge,Chocolate Outer,Dill Pickle,Egg Nog,Olive,Dandy's Candies,1/2020,45481.423076923085,0.6099096776818331
Sponge,Chocolate Outer,Dill Pickle,Egg Nog,Opal,Slugworth,1/2020,234.5701754385965,0.8393226815402083
Sponge,Chocolate Outer,Gingersnap,Egg Nog,Olive,Perk-a-Cola,1/2020,51885.29430379747,0.5793236536697114
Sponge,Chocolate Outer,Gingersnap,Egg Nog,Opal,Zebrabar,1/2020,22.509803921568626,0.545790510782288
Tiramisu,Chocolate Outer,Chocolate,Egg Nog,Amethyst,Fickelgruber,1/2020,6185.59509202454,0.3941047341703696
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,Zebrabar,1/2020,13867.125,0.5195284640148196
Tiramisu,Chocolate Outer,Chocolate,Rock and Rye,Teal,Slugworth,1/2020,120.98615916955015,0.6841298186723419
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,Perk-a-Cola,1/2020,10330.451612903224,0.20415572170546395
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Teal,Zebrabar,1/2020,15784.285714285714,0.9395036726581582
Tiramisu,Chocolate Outer,Doughnut,Ginger Beer,Amethyst,Fickelgruber,1/2020,5356.3386075949375,0.46495972381012207
Tiramisu,Chocolate Outer,Doughnut,Ginger Beer,Teal,Fickelgruber,1/2020,428.0,0.533292741933588
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,Fickelgruber,1/2020,42704.25889967639,0.3829551938352883
Tiramisu,Chocolate Outer,Doughnut,Pear,Burgundy,Zebrabar,1/2020,217.28571428571428,0.3466647422710944
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,Zebrabar,1/2020,7035.866666666668,0.3220047410364643
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,Slugworth,1/2020,19177.638036809818,0.8234050138664194
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Burgundy,Zebrabar,1/2020,1526.2857142857142,0.1854736675978335
Butter,Candy Outer,Butter Pecan,Toffee,Taupe,Slugworth,2/2020,40735.10802469136,0.1638235196185268
Butter,Candy Outer,Ginger Lime,Banana,Amethyst,Slugworth,2/2020,299024.08854166674,0.2785229155724126
Butter,Candy Outer,Ginger Lime,Banana,Burgundy,Perk-a-Cola,2/2020,51795.97953216374,0.12920772980107265
Butter,Candy Outer,Ginger Lime,Banana,White,Fickelgruber,2/2020,13671.296296296296,0.17919449507994933
Butter,Candy Outer,Ginger Lime,Rum,Amethyst,Fickelgruber,2/2020,12274.009146341465,0.13741956857878415
Butter,Candy Outer,Ginger Lime,Rum,Burgundy,Fickelgruber,2/2020,371.2903225806451,0.13137265325052455
Butter,Candy Outer,Ginger Lime,Tutti Frutti,Amethyst,Slugworth,2/2020,12317.397660818711,0.25327522473984526
Butter,Candy Outer,Ginger Lime,Vanilla,Amethyst,Zebrabar,2/2020,119015.43674698795,0.22676143097694357
Butter,Candy Outer,Margarita,Mixed Berry,Amethyst,Slugworth,2/2020,47142.928571428565,0.11017346645658734
Butter,Candy Outer,Pear,Whipped Cream,White,Zebrabar,2/2020,936.2804878048779,0.19933878674765715
Butter,Candy Outer,Pink Lemonade,Banana,Amethyst,Dandy's Candies,2/2020,2729.705056179775,-0.20125019667800714
Butter,Candy Outer,Raspberry Ginger Ale,Banana,Amethyst,Slugworth,2/2020,16918.132716049382,0.1165675908715666
Butter,Candy Outer,Raspberry Ginger Ale,Vanilla,Amethyst,Slugworth,2/2020,58020.911949685535,0.13232498383266988
Butter,Candy Outer,Raspberry Ginger Ale,Vanilla,Burgundy,Slugworth,2/2020,117.22222222222223,0.4029124181788647
Butter,Candy Outer,Sassafras,Apricot,Amethyst,Fickelgruber,2/2020,74.78571428571429,0.09350517645122541
Butter,Candy Outer,Spice,Passion Fruit,Amethyst,Fickelgruber,2/2020,5456.578050443081,0.16586581443554424
Butter,Candy Outer,Spice,Passion Fruit,White,Zebrabar,2/2020,2010.9477124183009,0.21226911209828025
Butter,Candy Outer,Spice,Whipped Cream,Amethyst,Zebrabar,2/2020,93302.72435897436,0.2534615709631681
Butter,Candy Outer,Spice,Whipped Cream,Burgundy,Slugworth,2/2020,42.48417721518987,0.18905571279533454
Butter,Candy Outer,Spice,Whipped Cream,White,Zebrabar,2/2020,3665.8097686375318,0.1204163654835843
Butter,Candy Outer,Wild Cherry Cream,Apricot,Amethyst,Fickelgruber,2/2020,132.94270833333334,0.039527661201215925
Butter,Chocolate Outer,Cream Soda,Peppermint,Amethyst,Zebrabar,2/2020,140637.14285714287,0.29312177043042764
Butter,Chocolate Outer,Cream Soda,Peppermint,Burgundy,Dandy's Candies,2/2020,3798.9285714285716,0.1409470820026624
Butter,Chocolate Outer,Horchata,Dill Pickle,Amethyst,Fickelgruber,2/2020,90677.41228070176,-0.12155583211185012
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Amethyst,Dandy's Candies,2/2020,23123.5,0.15645562201082447
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Black,Zebrabar,2/2020,54.83333333333334,-0.01297769533970082
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Burgundy,Perk-a-Cola,2/2020,538.8571428571429,-0.06179340137979476
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Opal,Slugworth,2/2020,8104.40251572327,-0.08199048078852467
Butter,Chocolate Outer,Kettle Corn,Black Cherry,White,Fickelgruber,2/2020,3569.0359477124184,-0.0314711556800703
Butter,Chocolate Outer,Lemon Bar,Wild Cherry Cream,Amethyst,Dandy's Candies,2/2020,45601.615168539334,-0.08038202275642281
Butter,Chocolate Outer,Orange Pineapple	P,Papaya,Amethyst,Perk-a-Cola,2/2020,79091.23475609756,0.16383998115433604
Butter,Chocolate Outer,Orange Pineapple	P,Papaya,Burgundy,Perk-a-Cola,2/2020,1432.2712418300653,0.08344063364255135
Butter,Chocolate Outer,Plum,Black Cherry,Amethyst,Fickelgruber,2/2020,15110.75,0.14936969841054704
Butter,Chocolate Outer,Plum,Black Cherry,Opal,Fickelgruber,2/2020,9772.200520833334,0.10599063305074641
Butter,Chocolate Outer,Plum,Black Cherry,White,Perk-a-Cola,2/2020,10861.245674740483,0.12739997876663822
Butter,Chocolate Outer,Plum,Mango,Black,Slugworth,2/2020,3578.592162554427,0.22663425487185784
Butter,Jelly Filled,Orange,Cucumber,Amethyst,Slugworth,2/2020,21438.1875,-0.002208019293649152
Butter,Jelly Filled,Orange,Cucumber,Burgundy,Dandy's Candies,2/2020,15617.489114658929,-0.06920442836451898
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Citrine,Slugworth,2/2020,329.7142857142857,0.3338636710973387
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Rose,Perk-a-Cola,2/2020,13799.769319492505,0.46296368460239196
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Slate,Perk-a-Cola,2/2020,818.1891025641024,0.6467625428629992
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Teal,Zebrabar,2/2020,2185.3410740203194,0.5131095058012723
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,White,Perk-a-Cola,2/2020,1702.1929824561405,0.4196732503578316
Cheese,Chocolate Outer,Lemon,Egg Nog,Rose,Slugworth,2/2020,663176.1973875181,0.2960568663655421
Cheese,Chocolate Outer,Lemon,Egg Nog,Teal,Dandy's Candies,2/2020,678.7183544303797,0.41850125553385237
Chiffon,Chocolate Outer,Acai Berry,Egg Nog,Teal,Zebrabar,2/2020,1868.867924528302,-0.055111058220849996
Chiffon,Chocolate Outer,Acai Berry,Egg Nog,White,Slugworth,2/2020,1347.0,-0.051447928921691394
Chiffon,Chocolate Outer,Apricot,Egg Nog,White,Dandy's Candies,2/2020,86.24595469255665,0.129843330329944
Chiffon,Chocolate Outer,Birch Beer,Egg Nog,White,Slugworth,2/2020,181.55526992287918,0.08805207642416665
Chiffon,Chocolate Outer,Cherry Cream Spice,Egg Nog,White,Perk-a-Cola,2/2020,10245.87593728698,-0.04793861888548417
Chiffon,Chocolate Outer,Creme de Menthe,Egg Nog,White,Zebrabar,2/2020,31412.04644412192,0.36379845770901315
Chiffon,Chocolate Outer,Fruit Punch,Egg Nog,White,Perk-a-Cola,2/2020,1968.8904494382025,0.152387551513186
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,Black,Zebrabar,2/2020,85.32258064516128,0.13503761859839408
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,White,Fickelgruber,2/2020,14626.074074074077,0.33422743067855865
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Black,Slugworth,2/2020,11791.8,0.23379963712642102
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Opal,Fickelgruber,2/2020,13504.20634920635,0.07562936466967035
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,White,Perk-a-Cola,2/2020,63142.241379310355,0.19652263999657255
Chiffon,Chocolate Outer,Grand Mariner,Pear,White,Slugworth,2/2020,579.0625,0.16548293596255206
Chiffon,Chocolate Outer,Grand Mariner,Rock and Rye,Opal,Slugworth,2/2020,8173.714285714284,0.351614086541979
Chiffon,Chocolate Outer,Grand Mariner,Rock and Rye,White,Dandy's Candies,2/2020,471.91011235955057,0.33773580754560667
Chiffon,Chocolate Outer,Orange Brandy,Egg Nog,Teal,Dandy's Candies,2/2020,1630.1966292134832,0.33353842666532874
Chiffon,Chocolate Outer,Pecan,Egg Nog,White,Perk-a-Cola,2/2020,5872.384615384615,-0.04497257247277894
Chiffon,Chocolate Outer,Plum,Egg Nog,Black,Fickelgruber,2/2020,2854.854368932039,-0.042561902572244244
Chiffon,Chocolate Outer,Plum,Egg Nog,Opal,Perk-a-Cola,2/2020,1180.5379746835442,0.18339422921438495
Chiffon,Chocolate Outer,Toasted Coconut,Egg Nog,Black,Perk-a-Cola,2/2020,157.46855345911948,-0.0017502804364329869
Chiffon,Chocolate Outer,Toasted Coconut,Egg Nog,White,Fickelgruber,2/2020,30698.857142857138,0.12008069783630863
Chiffon,Chocolate Outer,Watermelon,Egg Nog,Opal,Perk-a-Cola,2/2020,2355.267295597484,0.10439181044771187
Chiffon,Chocolate Outer,Watermelon,Egg Nog,White,Slugworth,2/2020,114208.8534107402,0.054077646126092144
Chiffon,Chocolate Outer,Wintergreen,Egg Nog,White,Zebrabar,2/2020,16569.26100628931,0.11289153543511848
Pound,Candy Outer,Vanilla,Tangerine,Black,Zebrabar,2/2020,712.4603174603176,0.36375432988718537
Pound,Candy Outer,Vanilla,Tangerine,Opal,Fickelgruber,2/2020,2499.2017416545723,0.33498333705858196
Pound,Candy Outer,Vanilla,Tangerine,White,Fickelgruber,2/2020,5712.3367198838905,0.23111502053730484
Pound,Chocolate Outer,Bavarian Cream,Apple,Tiffany,Dandy's Candies,2/2020,4463.780120481927,0.3775829322539328
Pound,Chocolate Outer,Bavarian Cream,Black Currant,Tiffany,Dandy's Candies,2/2020,14.663461538461537,0.2641485281553987
Pound,Chocolate Outer,Bavarian Cream,Kiwi,Tiffany,Perk-a-Cola,2/2020,2540.0,0.02031628644599684
Pound,Chocolate Outer,Bavarian Cream,Lemon,Tiffany,Zebrabar,2/2020,4528.380503144654,-0.08532176145990197
Pound,Chocolate Outer,Bavarian Cream,Tangerine,Tiffany,Fickelgruber,2/2020,220.55016181229772,0.22579866767387358
Pound,Chocolate Outer,Black Licorice,Egg Nog,Opal,Perk-a-Cola,2/2020,3786.966463414634,0.15366795545242218
Pound,Chocolate Outer,Black Licorice,Egg Nog,White,Slugworth,2/2020,1529.7752808988766,-0.00912828760120829
Pound,Chocolate Outer,Caramel Cream,Apple,Opal,Fickelgruber,2/2020,773.5849056603773,0.2714547139438689
Pound,Chocolate Outer,Caramel Cream,Apple,White,Slugworth,2/2020,289.8888888888889,0.42720462209595655
Pound,Chocolate Outer,Caramel Cream,Black Currant,Opal,Perk-a-Cola,2/2020,11715.487421383648,0.25976265620923894
Pound,Chocolate Outer,Caramel Cream,Black Currant,White,Dandy's Candies,2/2020,188.7692307692308,0.4701385863314783
Pound,Chocolate Outer,Caramel Cream,Kiwi,Black,Zebrabar,2/2020,102.64285714285714,0.22978050220180618
Pound,Chocolate Outer,Caramel Cream,Kiwi,Opal,Perk-a-Cola,2/2020,627.2222222222222,0.23338650706691016
Pound,Chocolate Outer,Caramel Cream,Kiwi,White,Fickelgruber,2/2020,2647.5,0.16754926483246232
Pound,Chocolate Outer,Caramel Cream,Lemon,Black,Dandy's Candies,2/2020,440.859375,0.2412075022476977
Pound,Chocolate Outer,Caramel Cream,Lemon,Opal,Dandy's Candies,2/2020,2002.1844660194174,0.46944699381632476
Pound,Chocolate Outer,Caramel Cream,Lemon,White,Dandy's Candies,2/2020,12691.209677419352,0.4006731224957901
Pound,Chocolate Outer,Cheesecake,Egg Nog,Black,Fickelgruber,2/2020,2566.693548387097,0.20247277714358025
