Base Cake,Truffle Type,Primary Flavor,Secondary Flavor,Color Group,Width,Height,Net Sales Quantity in KG,EBITDA,Product
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,421,80,13315.4,5589.27,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-421-80
Tiramisu,Chocolate Outer,Chocolate,Egg Nog,Amethyst,349,110,2250.0,5363.7,Tiramisu-Chocolate Outer-Chocolate-Egg Nog-Amethyst-349-110
Tiramisu,Chocolate Outer,Chocolate,Egg Nog,Amethyst,349,120,2250.0,5140.9,Tiramisu-Chocolate Outer-Chocolate-Egg Nog-Amethyst-349-120
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,1100,40,1975.0,5130.61,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-1100-40
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,436,80,6677.4,4983.66,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-436-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,960,100,1069.9,4332.82,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-960-100
Tiramisu,Chocolate Outer,Chocolate,Egg Nog,Amethyst,616,80,13593.6,4305.02,Tiramisu-Chocolate Outer-Chocolate-Egg Nog-Amethyst-616-80
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,309,70,8906.0,4280.84,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-309-70
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,340,80,5645.0,3923.03,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-340-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,485,50,1670.8,3803.48,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-485-50
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,484,80,5506.8,3759.42,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-484-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,293,80,2050.0,3745.28,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-293-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,560,50,2060.0,3678.46,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-560-50
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,618,80,10307.4,3649.0,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-618-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,620,80,3272.0,3520.14,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-620-80
Tiramisu,Chocolate Outer,Chocolate,Rock and Rye,Teal,500,60,1110.0,3318.31,Tiramisu-Chocolate Outer-Chocolate-Rock and Rye-Teal-500-60
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,520,80,2917.0,3281.72,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-520-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,589,80,5457.0,3258.83,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-589-80
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,625,80,1935.0,3136.02,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Amethyst-625-80
Tiramisu,Chocolate Outer,Doughnut,Ginger Beer,Amethyst,475,100,13144.3,3052.19,Tiramisu-Chocolate Outer-Doughnut-Ginger Beer-Amethyst-475-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,484,90,1940.0,2940.74,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-484-90
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,500,40,1000.0,2864.83,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-500-40
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,620,100,3150.0,2836.87,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-620-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,602,100,1684.0,2737.35,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-602-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,478,50,10348.3,2666.75,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-478-50
Tiramisu,Chocolate Outer,Doughnut,Ginger Beer,Teal,618,80,3711.5,2612.1,Tiramisu-Chocolate Outer-Doughnut-Ginger Beer-Teal-618-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,1490,50,12522.0,2603.58,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-1490-50
Tiramisu,Chocolate Outer,Doughnut,Ginger Beer,Amethyst,618,50,4245.2,2534.88,Tiramisu-Chocolate Outer-Doughnut-Ginger Beer-Amethyst-618-50
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,530,80,1990.0,2470.43,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-530-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,515,100,1000.0,2447.48,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-515-100
Tiramisu,Chocolate Outer,Doughnut,Ginger Beer,Amethyst,602,60,6454.9,2418.8,Tiramisu-Chocolate Outer-Doughnut-Ginger Beer-Amethyst-602-60
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,530,40,573.5,2243.29,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-530-40
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,490,60,1904.0,2197.03,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-490-60
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,601,100,2266.6,2148.91,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-601-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,300,80,7128.3,2111.06,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-300-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,620,60,1337.7,2039.52,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-620-60
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,420,80,1155.0,2026.42,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-420-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,530,40,571.0,1996.53,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-530-40
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,616,80,7874.3,1965.69,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-616-80
Tiramisu,Chocolate Outer,Chocolate,Egg Nog,Amethyst,510,80,11716.5,1907.55,Tiramisu-Chocolate Outer-Chocolate-Egg Nog-Amethyst-510-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,520,80,1810.0,1860.33,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-520-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,495,80,2127.0,1776.51,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-495-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,160,100,1066.7,1577.83,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-160-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,620,80,1608.6,1560.04,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-620-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,495,50,1858.8,1422.66,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-495-50
Tiramisu,Chocolate Outer,Doughnut,Ginger Beer,Teal,618,100,996.6,1344.35,Tiramisu-Chocolate Outer-Doughnut-Ginger Beer-Teal-618-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,472,80,864.4,1325.46,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-472-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,1020,80,802.7,1283.56,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-1020-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,491,80,1038.7,1219.7,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-491-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,595,80,1750.9,1166.91,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-595-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,1520,80,2093.1,1069.28,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-1520-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,309,80,980.0,986.13,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-309-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,500,100,680.0,960.07,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-500-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,600,100,500.0,946.75,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-600-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,1525,100,4632.5,806.63,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-1525-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,480,80,4420.0,701.63,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-480-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,618,50,1476.3,668.01,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-618-50
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,474,60,1062.4,651.2,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-474-60
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,319,80,540.0,650.85,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-319-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,484,60,1000.0,641.17,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-484-60
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,480,55,1520.0,617.3,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-480-55
Tiramisu,Chocolate Outer,Doughnut,Ginger Beer,Amethyst,480,80,2040.0,608.9,Tiramisu-Chocolate Outer-Doughnut-Ginger Beer-Amethyst-480-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,520,100,2946.4,597.77,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-520-100
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,650,40,559.6,514.44,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-650-40
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,510,60,540.6,507.18,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-510-60
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,500,60,402.5,494.12,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-500-60
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,558,80,447.9,484.78,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Amethyst-558-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,340,100,2053.4,471.99,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-340-100
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,298,40,259.2,452.3,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-298-40
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,450,80,611.3,397.61,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-450-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,625,80,500.0,389.66,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-625-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,340,60,2765.0,217.23,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-340-60
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,484,100,4439.7,142.47,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-484-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,315,80,500.0,142.43,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-315-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,640,80,531.9,74.18,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-640-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,293,60,40.0,65.0,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-293-60
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,440,100,4723.1,63.34,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Amethyst-440-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,500,80,957.5,10.88,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-500-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,1480,50,4244.0,8.8,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-1480-50
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,500,100,410.0,4.66,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-500-100
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,620,100,5880.9,1.78,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-620-100
Tiramisu,Chocolate Outer,Chocolate,Egg Nog,Amethyst,515,80,0.0,-9.89,Tiramisu-Chocolate Outer-Chocolate-Egg Nog-Amethyst-515-80
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,515,80,0.0,-10.83,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-515-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,600,80,2.8,-22.4,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-600-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,500,100,2.0,-41.08,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-500-100
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,457,80,0.7,-46.96,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-457-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,590,100,0.7,-49.76,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-590-100
Tiramisu,Chocolate Outer,Doughnut,Macadamia Nut,Amethyst,600,60,0.6,-51.14,Tiramisu-Chocolate Outer-Doughnut-Macadamia Nut-Amethyst-600-60
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,298,100,0.6,-51.89,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-298-100
Tiramisu,Chocolate Outer,Doughnut,Macadamia Nut,Amethyst,618,60,3.5,-53.38,Tiramisu-Chocolate Outer-Doughnut-Macadamia Nut-Amethyst-618-60
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,302,80,0.7,-54.89,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Amethyst-302-80
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,460,80,0.8,-56.96,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-460-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,460,100,1.0,-57.02,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-460-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,510,100,1.9,-58.12,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-510-100
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,500,80,1.6,-58.23,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-500-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,317,60,1.2,-58.35,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-317-60
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,500,80,1.6,-58.73,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-500-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,298,50,1.0,-58.87,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-298-50
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,310,80,1.4,-59.54,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-310-80
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,340,80,2.3,-63.48,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-340-80
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,476,40,1.0,-64.58,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Amethyst-476-40
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,540,80,3.7,-65.52,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-540-80
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,462,60,0.0,-65.82,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Amethyst-462-60
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,460,80,1.5,-68.01,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Amethyst-460-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,590,80,2.4,-68.27,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-590-80
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,630,80,2.6,-68.68,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-630-80
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,516,80,2.3,-75.06,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Amethyst-516-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Burgundy,300,40,1.7,-85.76,Tiramisu-Chocolate Outer-Doughnut-Pear-Burgundy-300-40
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,476,80,5.8,-87.29,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-476-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,476,80,5.8,-88.51,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-476-80
Tiramisu,Chocolate Outer,Doughnut,Macadamia Nut,Amethyst,1518,60,6.0,-94.88,Tiramisu-Chocolate Outer-Doughnut-Macadamia Nut-Amethyst-1518-60
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,550,100,520.0,-99.21,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Amethyst-550-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,855,50,5.6,-99.33,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-855-50
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Burgundy,510,80,505.8,-104.62,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Burgundy-510-80
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,520,80,6.8,-106.75,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-520-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,320,100,1105.0,-126.61,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-320-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Burgundy,1560,40,0.0,-127.85,Tiramisu-Chocolate Outer-Doughnut-Pear-Burgundy-1560-40
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,600,100,3237.0,-128.35,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-600-100
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Teal,293,100,93.0,-131.69,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Teal-293-100
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,520,100,8.4,-132.79,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Amethyst-520-100
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,617,80,10.0,-140.07,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-617-80
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,510,100,110.0,-144.41,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Amethyst-510-100
Tiramisu,Chocolate Outer,Chocolate,Egg Nog,Amethyst,449,80,14.1,-154.49,Tiramisu-Chocolate Outer-Chocolate-Egg Nog-Amethyst-449-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,617,80,12.0,-164.3,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-617-80
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Burgundy,1380,60,0.0,-175.36,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Burgundy-1380-60
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,600,80,183.4,-179.28,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-600-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Teal,1060,80,996.3,-184.94,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Teal-1060-80
Tiramisu,Chocolate Outer,Chocolate,Egg Nog,Amethyst,1215,80,55.1,-199.36,Tiramisu-Chocolate Outer-Chocolate-Egg Nog-Amethyst-1215-80
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Burgundy,595,60,509.0,-203.47,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Burgundy-595-60
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Burgundy,1330,100,0.0,-209.01,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Burgundy-1330-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,436,60,991.2,-217.3,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-436-60
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,320,80,735.0,-217.77,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-320-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,500,80,16.7,-221.06,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-500-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,660,170,4190.0,-226.66,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-660-170
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Burgundy,577,80,495.6,-237.59,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Burgundy-577-80
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Burgundy,1258,80,0.0,-256.14,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Burgundy-1258-80
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Burgundy,1270,60,0.0,-268.23,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Burgundy-1270-60
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Burgundy,1260,80,0.0,-289.1,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Burgundy-1260-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,510,100,99.1,-313.26,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-510-100
